NAME,ADDRESS,LAT,LON,TYPE
Kids Unlimited,1527 N Limestone,38.064083,-84.471748,
Kids Cozy Cottage,1451 Bryan Ave.,38.05959,-84.466303,
Children's Spot,1016 N Limestone,38.06021,-84.47735,
Creative Child,848 N Limestone,38.058043,-84.480426,
abc123 Learning Center,285 E 6th St.,38.050127,-84.482413,
Marino's Daycare,130 W 5th St.,38.052718,-84.488855,
Jump Start,435 Race St.,38.045447,-84.484108,
Children's Treehouse,309 Ohio St.,38.045701,-84.488093,
Kidz Konnection,1020 Industry Rd.,38.043001,-84.460326,
Healthy Start,650 Newtown Pike,38.065256,-84.499097,
Our Magic Years,866 Georgetown St.,38.069776,-84.504439,
Megamindseducare,670 Lima Dr.,38.073011,-84.506343,
Growing Together,599 Lima Dr.,38.072776,-84.508139,
West End Empowerment Project,498 Georgetown St.,38.062377,-84.501939,
Quinn Chapel,744 Charles Ave.,38.06015,-84.502112,
Playhouse,1440 N Forbes Rd.,38.066597,-84.519845,
Little Rascals,1410 N Forbes Rd.,38.065925,-84.519865,
Salvation Army,736 W Main St.,38.053537,-84.505179,
Imagination Station,585 W Main St.,38.051602,-84.502812,
Kare Bears,1697 Peabody Way,,,
New Life,224 N MLK Blvd.,38.043133,-84.498076,
